algoritmo,tiempo,memoria
MedicionBuscarLinkedList,25232994200,937264
MedicionBuscarArrayList,12353824700,937274
MedicionBuscarTrie,13745000,10450571
MedicionBuscarHashMap,5076000,1328896
MedicionBuscarTreeMap,21198500,1328898
algoritmo,tiempo,memoria
MedicionBuscarLinkedList,17671181700,937264
MedicionBuscarArrayList,10093344900,937274
MedicionBuscarTrie,11160700,10450571
MedicionBuscarHashMap,4436200,1328896
MedicionBuscarTreeMap,26532500,1328898
algoritmo,tiempo,memoria
MedicionPredecirHashMap,328457600,10450571
algoritmo,tiempo,memoria
MedicionPredecirHashMap,361844700,10450571
algoritmo,tiempo,memoria
MedicionBuscarLinkedList,25528157300,937264
MedicionBuscarArrayList,16172504900,937274
MedicionBuscarTrie,15252800,10450571
MedicionBuscarHashMap,7158500,1328896
MedicionBuscarTreeMap,31222000,1328898
MedicionPredecirHashMap,224184200,10450571
algoritmo,tiempo,memoria
MedicionPredecirHashMap,1346581800,1328896
algoritmo,tiempo,memoria
MedicionPredecirHashMap,2570713900,1328896
algoritmo,tiempo,memoria
MedicionPredecirHashMap,7081223700,1328896
algoritmo,tiempo,memoria
MedicionPredecirHashMap,1167658900,1328896
